P7,P4,Cz,Pz,P3,P8,O1,O2,T8,F8,C4,F4,Fp2,Fz,C3,F3,Fp1,T7,F7,Oz,PO3,AF3,FC5,FC1,CP5,CP1,CP2,CP6,AF4,FC2,FC6,PO4,Timestamp
-31063.94921875,14220.6650390625,23082.326171875,1620.06396484375,26941.96875,-6394.60107421875,-58420.390625,-52898.91796875,20528.662109375,-452.593994140625,10549.1865234375,17282.439453125,-23627.2265625,44744.9765625,-400000.0625,20607.744140625,10831.421875,-30868.923828125,5371.58203125,-16488.5546875,36883.4453125,16009.9599609375,27372.93359375,-23194.17578125,-4069.93603515625,35423.9921875,-400000.0625,11420.5283203125,37221.8671875,-25474.63671875,15527.4521484375,2450.056884765625,11180.133466365
-31074.369140625,14213.21484375,23065.15234375,1615.1700439453125,26927.568359375,-6411.80517578125,-58431.55078125,-52911.8828125,20520.525390625,-474.9830017089844,10540.453125,17295.65234375,-23579.041015625,44779.9375,-400000.0625,20610.42578125,10884.59375,-30868.32421875,5409.52392578125,-16502.9765625,36883.66015625,16026.716796875,27409.654296875,-23162.759765625,-4089.528076171875,35420.890625,-400000.0625,11417.2275390625,37243.9453125,-25498.240234375,15561.0302734375,2425.9970703125,11180.135466365
-31054.095703125,14223.7099609375,23125.3671875,1621.8590087890625,26952.21484375,-6375.98291015625,-58414.32421875,-52889.78515625,20550.216796875,-403.947998046875,10554.36328125,17345.548828125,-23578.09765625,44796.26953125,-400000.0625,20633.396484375,10813.3525390625,-30846.328125,5443.673828125,-16479.26171875,36901.28515625,16052.849609375,27370.421875,-23119.14453125,-4053.491943359375,35440.34375,-400000.0625,11441.298828125,37269.765625,-25453.376953125,15575.271484375,2468.85205078125,11180.137466365
-31037.0546875,14236.087890625,23169.05078125,1628.60302734375,26976.798828125,-6345.1689453125,-58396.4453125,-52866.87109375,20570.818359375,-350.15899658203125,10569.1748046875,17363.146484375,-23623.63671875,44774.81640625,-400000.0625,20643.060546875,10722.8564453125,-30835.83203125,5429.294921875,-16456.1796875,36910.03515625,16053.7197265625,27316.30859375,-23118.50390625,-4020.68310546875,35453.52734375,-400000.0625,11455.89453125,37266.06640625,-25412.814453125,15554.8076171875,2509.00390625,11180.139466364999
-31035.185546875,14238.1748046875,23172.64453125,1629.7060546875,26980.7109375,-6337.47705078125,-58392.140625,-52862.30859375,20570.60546875,-345.6940002441406,10571.4892578125,17348.62109375,-23663.0078125,44746.99609375,-400000.0625,20635.728515625,10694.4296875,-30841.90234375,5394.578125,-16451.412109375,36906.71484375,16040.0166015625,27295.310546875,-23143.53125,-4012.72607421875,35453.0859375,-400000.0625,11452.65234375,37246.7734375,-25406.001953125,15528.8408203125,2519.964111328125,11180.141466365
-31051.978515625,14226.3408203125,23127.896484375,1621.6240234375,26958.4453125,-6365.6181640625,-58408.37109375,-52881.82421875,20546.5859375,-396.42999267578125,10556.2109375,17312.732421875,-23666.880859375,44732.77734375,-400000.0625,20616.9609375,10738.1279296875,-30863.859375,5363.85205078125,-16473.71484375,36888.8828125,16019.4736328125,27317.341796875,-23174.984375,-4041.152099609375,35433.296875,-400000.0625,11429.560546875,37223.69921875,-25440.53515625,15514.3759765625,2485.303955078125,11180.143466365
-31066.37109375,14214.6298828125,23109.158203125,1612.5550537109375,26945.544921875,-6382.05908203125,-58421.55078125,-52895.91796875,20534.107421875,-415.8320007324219,10545.5126953125,17308.73046875,-23639.47265625,44744.4609375,-400000.0625,20609.396484375,10783.541015625,-30873.23046875,5372.27685546875,-16489.123046875,36879.16796875,16019.3759765625,27342.45703125,-23170.466796875,-4059.297119140625,35424.01171875,-400000.0625,11419.529296875,37224.91015625,-25460.931640625,15523.7490234375,2465.134033203125,11180.145466365
-31053.685546875,14222.853515625,23149.310546875,1613.7259521484375,26963.38671875,-6355.9267578125,-58408.88671875,-52880.3125,20553.78515625,-367.74798583984375,10554.943359375,17338.0390625,-23635.591796875,44752.20703125,-400000.0625,20622.943359375,10744.91015625,-30859.908203125,5393.98681640625,-16472.29296875,36886.98046875,16032.5087890625,27319.107421875,-23149.626953125,-4032.673095703125,35436.1875,-400000.0625,11433.423828125,37238.94140625,-25428.3125,15532.654296875,2497.18896484375,11180.147466365
-31050.826171875,14222.935546875,23156.501953125,1612.1400146484375,26967.5546875,-6349.81494140625,-58407.3046875,-52877.01171875,20554.1875,-359.5400085449219,10556.197265625,17332.55859375,-23661.16796875,44731.80078125,-400000.0625,20618.83203125,10707.2373046875,-30863.41015625,5377.70703125,-16470.0703125,36882.03515625,16022.3896484375,27293.515625,-23167.77734375,-4025.8291015625,35433.7578125,-400000.0625,11431.8642578125,37227.5703125,-25418.404296875,15517.021484375,2507.498046875,11180.149466365
-31052.689453125,14224.326171875,23130.78125,1618.6689453125,26961.7421875,-6363.65478515625,-58407.71484375,-52880.7265625,20545.498046875,-392.76300048828125,10556.935546875,17316.8984375,-23649.888671875,44735.0390625,-400000.0625,20614.376953125,10758.1103515625,-30867.025390625,5371.4189453125,-16476.525390625,36879.80859375,16019.1806640625,27325.580078125,-23180.552734375,-4038.196044921875,35430.3828125,-400000.0625,11427.22265625,37224.75390625,-25435.123046875,15519.8837890625,2491.51806640625,11180.151466365
