P7,P4,Cz,Pz,P3,P8,O1,O2,T8,F8,C4,F4,Fp2,Fz,C3,F3,Fp1,T7,F7,Oz,PO3,AF3,FC5,FC1,CP5,CP1,CP2,CP6,AF4,FC2,FC6,PO4,Timestamp
-31533.90625,14536.0244140625,22154.765625,2497.02099609375,25324.443359375,-6455.01806640625,-59397.0390625,-56482.94140625,22136.939453125,-3017.64404296875,7771.31689453125,18239.328125,-25224.212890625,44748.98046875,-330667.96875,19007.646484375,10051.1162109375,-34572.296875,948.9650268554688,-5619.52197265625,37244.234375,16286.427734375,25967.720703125,-23341.517578125,-1919.4110107421875,35142.47265625,-373082.34375,15454.328125,36240.359375,-37948.94140625,14880.9287109375,-5340.6318359375,11059.199466365
-31518.84765625,14546.4287109375,22203.642578125,2500.97412109375,25345.080078125,-6425.65576171875,-59382.55859375,-56463.7734375,22160.3125,-2962.8740234375,7782.1572265625,18270.693359375,-25253.423828125,44746.015625,-330646.3125,19022.62109375,9958.6845703125,-34555.0078125,954.7830200195312,-5601.14404296875,37252.8125,16298.4814453125,25916.890625,-23323.39453125,-1887.176025390625,35158.61328125,-373057.40625,15472.2197265625,36252.078125,-37911.46484375,14878.4287109375,-5301.2001953125,11059.201466364999
-31518.328125,14546.5419921875,22216.017578125,2497.873046875,25349.662109375,-6418.08984375,-59379.98046875,-56459.37890625,22163.224609375,-2947.64892578125,7782.5390625,18264.03125,-25301.16796875,44715.70703125,-330642.75,19017.396484375,9897.64453125,-34556.90625,923.4710083007812,-5598.97412109375,37243.890625,16283.1552734375,25875.443359375,-23341.150390625,-1877.510009765625,35157.3828125,-373051.125,15469.982421875,36236.5546875,-37900.07421875,14851.18359375,-5287.44287109375,11059.203466365
-31515.61328125,14553.98046875,22205.794921875,2507.7060546875,25354.033203125,-6419.1181640625,-59373.453125,-56454.55078125,22161.365234375,-2962.64111328125,7789.4140625,18247.9296875,-25310.5234375,44704.921875,-330642.8125,19015.76953125,9913.7568359375,-34558.11328125,900.6500244140625,-5598.7509765625,37243.78515625,16275.0986328125,25883.900390625,-23358.171875,-1876.91796875,35158.30859375,-373052.25,15468.298828125,36227.1171875,-37903.6953125,14841.4892578125,-5290.251953125,11059.205466365
-31530.71484375,14544.416015625,22170.279296875,2502.387939453125,25333.955078125,-6444.9140625,-59387.1015625,-56471.0703125,22141.814453125,-3004.909912109375,7777.884765625,18223.00390625,-25290.794921875,44706.7578125,-330666.4375,19001.40625,9968.3310546875,-34573.28515625,893.7410278320312,-5620.3359375,37236.765625,16266.173828125,25915.859375,-23371.748046875,-1902.8929443359375,35142.4296875,-373079.3125,15452.9306640625,36218.39453125,-37935.515625,14842.3359375,-5322.18505859375,11059.207466365
-31538.642578125,14535.3046875,22176.173828125,2487.7451171875,25326.291015625,-6447.89794921875,-59396.73046875,-56477.765625,22139.0546875,-2992.89111328125,7767.1328125,18232.015625,-25281.369140625,44716.15234375,-330675.34375,18998.228515625,9964.271484375,-34578.07421875,909.416015625,-5628.52880859375,37233.9140625,16269.3359375,25912.11328125,-23357.875,-1906.178955078125,35134.86328125,-373087.875,15448.3017578125,36222.88671875,-37937.65234375,14847.3857421875,-5323.287109375,11059.209466365
-31518.197265625,14550.5400390625,22224.169921875,2497.426025390625,25353.419921875,-6414.42578125,-59377.0390625,-56454.89453125,22166.755859375,-2939.035888671875,7784.6171875,18260.767578125,-25300.26953125,44716.40234375,-330649.40625,19017.06640625,9904.326171875,-34559.90625,919.0089721679688,-5606.96923828125,37247.34375,16281.8916015625,25880.474609375,-23339.5234375,-1871.1529541015625,35151.984375,-373059.40625,15467.0546875,36234.75390625,-37897.03515625,14846.1240234375,-5281.26513671875,11059.211466364999
-31515.837890625,14553.0966796875,22223.6171875,2499.294921875,25356.53125,-6411.43603515625,-59372.76953125,-56451.640625,22167.0703125,-2941.14111328125,7787.873046875,18248.279296875,-25321.646484375,44698.9453125,-330648.875,19014.7265625,9892.1982421875,-34561.67578125,899.9959716796875,-5607.009765625,37244.4921875,16270.9931640625,25869.869140625,-23356.474609375,-1866.39599609375,35152.19921875,-373057.84375,15465.0361328125,36223.28125,-37893.01953125,14831.1796875,-5275.708984375,11059.213466365
-31532.974609375,14541.6015625,22184.72265625,2491.218017578125,25335.35546875,-6438.3828125,-59388.3203125,-56470.74609375,22144.658203125,-2989.736083984375,7773.908203125,18216.16796875,-25308.138671875,44693.2890625,-330676.3125,18998.970703125,9947.734375,-34578.71484375,889.0819702148438,-5629.5029296875,37234.5390625,16257.703125,25897.83203125,-23378.7890625,-1894.02294921875,35136.85546875,-373085.78125,15447.330078125,36209.5703125,-37925.4609375,14826.34375,-5309.541015625,11059.215466365
-31553.248046875,14526.5263671875,22135.9921875,2482.029052734375,25307.6953125,-6476.85107421875,-59409.4140625,-56495.9296875,22117.87890625,-3048.62109375,7755.716796875,18192.310546875,-25260.791015625,44711.03125,-330710.78125,18984.31640625,10030.23828125,-34593.71484375,905.8079833984375,-5659.4208984375,37229.85546875,16254.736328125,25950.171875,-23380.990234375,-1933.4019775390625,35119.796875,-373124.0,15432.201171875,36209.97265625,-37972.203125,14843.9033203125,-5357.52392578125,11059.217466365
