time stamp,marker
3206016.71055262,[336]
3206016.710315644,[336]
3206017.211553097,[337]
3206017.211315644,[337]
3206017.712012766,[338]
3206017.711315644,[338]
3206018.212304686,[339]
3206018.211315644,[339]
3206018.712876674,[340]
3206018.712315644,[340]
3206019.213754986,[341]
3206019.213315644,[341]
3206019.714629652,[342]
3206019.714315644,[342]
3206020.214834415,[343]
3206020.214315644,[343]
3206020.715126335,[344]
3206020.714315644,[344]
3206021.215932077,[345]
3206021.215315644,[345]
3206021.716290003,[346]
3206021.715315644,[346]
3206022.216437148,[347]
3206022.216315644,[347]
3206022.716950788,[348]
3206022.716315644,[348]
3206023.217179255,[349]
3206023.216315644,[349]
3206023.717502172,[350]
3206023.717315644,[350]
3206024.217974969,[351]
3206024.217315644,[351]
3206024.718366445,[352]
3206024.718315644,[352]
3206025.218673316,[353]
3206025.218315644,[353]
3206025.719013008,[354]
3206025.718315644,[354]
3206026.219363275,[355]
3206026.219315644,[355]
3206026.720113223,[356]
3206026.719315644,[356]
3206027.220222442,[357]
3206027.219315644,[357]
3206027.720255445,[358]
3206027.719315644,[358]
3206028.220961632,[359]
3206028.220315644,[359]
3206028.721657973,[360]
3206028.721315644,[360]
3206029.222369631,[361]
3206029.222315644,[361]
3206029.72289494,[362]
3206029.722315644,[362]
3206030.222987385,[363]
3206030.222315644,[363]
3206030.723228615,[364]
3206030.722315644,[364]
3206031.223825765,[365]
3206031.223315644,[365]
3206031.724093617,[366]
3206031.723315644,[366]
3206032.225090812,[367]
3206032.2243156442,[367]
3206032.725839666,[368]
3206032.725315644,[368]
3206033.225877045,[369]
3206033.225315644,[369]
3206033.725920258,[370]
3206033.725315644,[370]
3206034.226956838,[371]
3206034.226315644,[371]
3206034.727068246,[372]
3206034.726315644,[372]
3206035.227591003,[373]
3206035.227315644,[373]
3206035.727988677,[374]
3206035.727315644,[374]
3206036.228600779,[375]
3206036.228315644,[375]
3206036.729434602,[376]
3206036.729315644,[376]
3206037.230176162,[377]
3206037.229315644,[377]
3206037.730289757,[378]
3206037.729315644,[378]
3206038.230755261,[379]
3206038.230315644,[379]
3206038.73087068,[380]
3206038.730315644,[380]
3206039.231463818,[381]
3206039.231315644,[381]
3206039.731760844,[382]
3206039.731315644,[382]
3206040.232277037,[383]
3206040.231315644,[383]
3206040.732562392,[384]
3206040.732315644,[384]
3206041.232644626,[385]
3206041.232315644,[385]
3206041.733367223,[386]
3206041.733315644,[386]
3206042.233562505,[387]
3206042.233315644,[387]
