P7,P4,Cz,Pz,P3,P8,O1,O2,T8,F8,C4,F4,Fp2,Fz,C3,F3,Fp1,T7,F7,Oz,PO3,AF3,FC5,FC1,CP5,CP1,CP2,CP6,AF4,FC2,FC6,PO4,Timestamp
-9479.0986328125,-11561.0302734375,-12924.3994140625,-12300.1669921875,-20031.736328125,-20054.568359375,-20037.974609375,-9813.9404296875,-9180.6103515625,-9242.8505859375,-11346.9638671875,-9507.9970703125,-20071.443359375,-20120.458984375,-19998.216796875,-20071.4921875,-8396.0302734375,-14144.521484375,-15140.642578125,-10690.587890625,-10396.8876953125,-10221.478515625,-13652.703125,-10428.720703125,-20014.46484375,-20122.599609375,-19991.412109375,-20007.7578125,-12556.037109375,-8346.1064453125,-12790.931640625,-11717.951171875,4767.711466365
-8863.0615234375,-10911.123046875,-12332.1416015625,-11644.54296875,-19844.11328125,-19880.419921875,-19655.611328125,-9170.9912109375,-8536.01171875,-8539.75390625,-10703.390625,-8871.5634765625,-19883.5234375,-19937.376953125,-19534.662109375,-19806.322265625,-7861.64501953125,-13570.3720703125,-14725.7431640625,-10041.8046875,-9750.486328125,-9589.40625,-13010.6162109375,-9814.21875,-19825.818359375,-19855.431640625,-19641.48046875,-19242.4140625,-11954.484375,-7789.8369140625,-12197.1103515625,-11071.3408203125,4767.7134663649995
-8560.578125,-10563.736328125,-12105.7060546875,-11287.5537109375,-19739.576171875,-19684.298828125,-19002.53125,-8844.5380859375,-8168.35107421875,-8045.091796875,-10369.658203125,-8550.6162109375,-19778.498046875,-19762.578125,-18934.181640625,-19366.6015625,-7765.533203125,-13356.6845703125,-14828.2607421875,-9690.234375,-9393.9755859375,-9260.12109375,-12679.28125,-9541.6630859375,-19719.287109375,-19313.09765625,-19057.98046875,-18655.69921875,-11723.7314453125,-7648.408203125,-11978.2529296875,-10728.3935546875,4767.715466365
-9271.03125,-11287.7216796875,-12833.2470703125,-12013.359375,-19947.9296875,-19929.140625,-19658.890625,-9575.51171875,-8868.8818359375,-8726.80859375,-11095.8525390625,-9276.587890625,-19987.111328125,-20020.123046875,-19634.146484375,-19875.052734375,-8520.6796875,-14072.84375,-15571.955078125,-10411.29296875,-10105.7470703125,-9971.26171875,-13404.021484375,-10269.7724609375,-19929.294921875,-19847.30078125,-19669.79296875,-19455.072265625,-12467.6787109375,-8395.9130859375,-12725.0810546875,-11452.0302734375,4767.717466364999
-9998.484375,-12060.123046875,-13489.9990234375,-12795.4736328125,-20173.673828125,-20215.767578125,-20258.0390625,-10330.58203125,-9653.548828125,-9616.3828125,-11855.1171875,-10026.9501953125,-20212.6015625,-20272.34375,-20203.009765625,-20253.064453125,-9070.974609375,-14712.4970703125,-15926.5,-11187.228515625,-10885.4111328125,-10717.427734375,-14163.3564453125,-10972.39453125,-20156.37890625,-20329.501953125,-20200.361328125,-20223.09375,-13140.8408203125,-8983.3818359375,-13388.779296875,-12220.9599609375,4767.719466365
-9794.7314453125,-11876.2587890625,-13247.4462890625,-12616.3818359375,-20122.287109375,-20144.1328125,-20012.888671875,-10131.416015625,-9488.5732421875,-9522.74609375,-11663.0361328125,-9827.818359375,-20161.029296875,-20206.392578125,-19943.37109375,-20096.466796875,-8744.91796875,-14464.6142578125,-15496.982421875,-11004.205078125,-10710.5361328125,-10528.3369140625,-13971.6298828125,-10746.849609375,-20103.646484375,-20145.2265625,-19979.921875,-19896.0546875,-12890.63671875,-8684.755859375,-13130.1494140625,-12034.2314453125,4767.721466364999
-9133.8212890625,-11201.53515625,-12609.7578125,-11936.986328125,-19927.0703125,-19928.111328125,-19614.373046875,-9454.6396484375,-8821.291015625,-8841.9970703125,-10989.349609375,-9155.0400390625,-19966.626953125,-19997.6875,-19538.001953125,-19805.294921875,-8103.4609375,-13825.9765625,-14898.3310546875,-10328.10546875,-10038.015625,-9865.7626953125,-13298.9072265625,-10086.19921875,-19907.396484375,-19818.29296875,-19615.318359375,-19336.4140625,-12229.6083984375,-8042.10888671875,-12466.7138671875,-11358.1826171875,4767.723466365
-8562.6259765625,-10594.830078125,-12108.2333984375,-11322.267578125,-19750.75390625,-19738.59375,-19338.953125,-8866.060546875,-8204.3701171875,-8138.65478515625,-10396.259765625,-8569.3974609375,-19790.64453125,-19813.783203125,-19266.146484375,-19583.892578125,-7680.26123046875,-13325.263671875,-14630.3447265625,-9718.65625,-9426.7099609375,-9280.037109375,-12702.0966796875,-9540.296875,-19730.62109375,-19575.76953125,-19357.556640625,-18999.783203125,-11708.1064453125,-7589.94677734375,-11949.7197265625,-10754.1611328125,4767.725466365
-9053.9443359375,-11097.466796875,-12613.052734375,-11827.4482421875,-19895.537109375,-19883.822265625,-19525.681640625,-9373.8515625,-8689.359375,-8620.9306640625,-10901.482421875,-9075.3525390625,-19934.6875,-19959.564453125,-19464.5078125,-19750.490234375,-8198.623046875,-13826.7197265625,-15145.0546875,-10220.466796875,-9918.48046875,-9775.9560546875,-13208.1728515625,-10048.0390625,-19875.96875,-19743.20703125,-19539.271484375,-19248.119140625,-12224.587890625,-8104.69482421875,-12464.4716796875,-11257.64453125,4767.727466365
-9650.1337890625,-11728.244140625,-13138.3271484375,-12466.15234375,-20079.0234375,-20080.11328125,-19873.767578125,-9988.0029296875,-9332.6259765625,-9352.642578125,-11520.1962890625,-9689.3427734375,-20118.146484375,-20153.734375,-19829.212890625,-20013.755859375,-8643.6328125,-14349.423828125,-15430.8935546875,-10854.359375,-10555.580078125,-10388.1728515625,-13828.015625,-10621.63671875,-20060.052734375,-20029.28515625,-19862.189453125,-19756.796875,-12768.1357421875,-8581.177734375,-13004.7607421875,-11886.7744140625,4767.729466365
